Age_group,State,Gender,Year,Total
15-29,UTTARAKHAND,Male,2011,207
15-29,UTTARAKHAND,Male,2012,219
15-29,WEST BENGAL,Female,2001,6762
15-29,WEST BENGAL,Female,2002,6474
15-29,WEST BENGAL,Female,2003,6846
15-29,WEST BENGAL,Female,2004,7110
15-29,WEST BENGAL,Female,2005,8340
15-29,WEST BENGAL,Female,2006,8994
15-29,WEST BENGAL,Female,2007,8190
15-29,WEST BENGAL,Female,2008,9012
15-29,WEST BENGAL,Female,2009,8175
15-29,WEST BENGAL,Female,2010,7878
15-29,WEST BENGAL,Female,2011,8139
15-29,WEST BENGAL,Female,2012,2298
15-29,WEST BENGAL,Male,2001,6081
15-29,WEST BENGAL,Male,2002,6645
15-29,WEST BENGAL,Male,2003,7188
15-29,WEST BENGAL,Male,2004,7065
15-29,WEST BENGAL,Male,2005,8886
15-29,WEST BENGAL,Male,2006,9111
15-29,WEST BENGAL,Male,2007,7938
15-29,WEST BENGAL,Male,2008,8418
15-29,WEST BENGAL,Male,2009,7221
15-29,WEST BENGAL,Male,2010,8028
15-29,WEST BENGAL,Male,2011,7563
15-29,WEST BENGAL,Male,2012,2544
30-44,A & N ISLANDS,Female,2001,27
30-44,A & N ISLANDS,Female,2002,42
30-44,A & N ISLANDS,Female,2003,24
30-44,A & N ISLANDS,Female,2004,39
30-44,A & N ISLANDS,Female,2005,24
30-44,A & N ISLANDS,Female,2006,30
30-44,A & N ISLANDS,Female,2007,30
30-44,A & N ISLANDS,Female,2008,39
30-44,A & N ISLANDS,Female,2009,42
30-44,A & N ISLANDS,Female,2010,33
30-44,A & N ISLANDS,Female,2011,33
30-44,A & N ISLANDS,Female,2012,36
30-44,A & N ISLANDS,Male,2001,69
30-44,A & N ISLANDS,Male,2002,84
30-44,A & N ISLANDS,Male,2003,69
30-44,A & N ISLANDS,Male,2004,72
30-44,A & N ISLANDS,Male,2005,72
30-44,A & N ISLANDS,Male,2006,102
30-44,A & N ISLANDS,Male,2007,78
30-44,A & N ISLANDS,Male,2008,96
30-44,A & N ISLANDS,Male,2009,69
30-44,A & N ISLANDS,Male,2010,99
30-44,A & N ISLANDS,Male,2011,105
30-44,A & N ISLANDS,Male,2012,78
30-44,ANDHRA PRADESH,Female,2001,3594
30-44,ANDHRA PRADESH,Female,2002,4122
30-44,ANDHRA PRADESH,Female,2003,3612
30-44,ANDHRA PRADESH,Female,2004,4032
30-44,ANDHRA PRADESH,Female,2005,4080
30-44,ANDHRA PRADESH,Female,2006,4071
30-44,ANDHRA PRADESH,Female,2007,4350
30-44,ANDHRA PRADESH,Female,2008,4752
30-44,ANDHRA PRADESH,Female,2009,4260
30-44,ANDHRA PRADESH,Female,2010,4716
30-44,ANDHRA PRADESH,Female,2011,4665
30-44,ANDHRA PRADESH,Female,2012,4398
30-44,ANDHRA PRADESH,Male,2001,6639
30-44,ANDHRA PRADESH,Male,2002,8493
30-44,ANDHRA PRADESH,Male,2003,8538
30-44,ANDHRA PRADESH,Male,2004,10344
30-44,ANDHRA PRADESH,Male,2005,9534
30-44,ANDHRA PRADESH,Male,2006,9834
30-44,ANDHRA PRADESH,Male,2007,10980
30-44,ANDHRA PRADESH,Male,2008,11007
30-44,ANDHRA PRADESH,Male,2009,11166
30-44,ANDHRA PRADESH,Male,2010,11586
30-44,ANDHRA PRADESH,Male,2011,10653
30-44,ANDHRA PRADESH,Male,2012,10884
30-44,ARUNACHAL PRADESH,Female,2001,27
30-44,ARUNACHAL PRADESH,Female,2002,33
30-44,ARUNACHAL PRADESH,Female,2003,30
30-44,ARUNACHAL PRADESH,Female,2004,39
30-44,ARUNACHAL PRADESH,Female,2005,27
30-44,ARUNACHAL PRADESH,Female,2006,36
30-44,ARUNACHAL PRADESH,Female,2007,30
30-44,ARUNACHAL PRADESH,Female,2008,39
30-44,ARUNACHAL PRADESH,Female,2009,39
30-44,ARUNACHAL PRADESH,Female,2010,24
30-44,ARUNACHAL PRADESH,Female,2011,27
30-44,ARUNACHAL PRADESH,Female,2012,27
30-44,ARUNACHAL PRADESH,Male,2001,114
30-44,ARUNACHAL PRADESH,Male,2002,114
30-44,ARUNACHAL PRADESH,Male,2003,78
30-44,ARUNACHAL PRADESH,Male,2004,72
30-44,ARUNACHAL PRADESH,Male,2005,84
30-44,ARUNACHAL PRADESH,Male,2006,135
30-44,ARUNACHAL PRADESH,Male,2007,132
30-44,ARUNACHAL PRADESH,Male,2008,74
30-44,ARUNACHAL PRADESH,Male,2009,74
30-44,ARUNACHAL PRADESH,Male,2010,96
30-44,ARUNACHAL PRADESH,Male,2011,102
30-44,ARUNACHAL PRADESH,Male,2012,117
30-44,ASSAM,Female,2001,822
30-44,ASSAM,Female,2002,825
30-44,ASSAM,Female,2003,675
30-44,ASSAM,Female,2004,888
30-44,ASSAM,Female,2005,897
30-44,ASSAM,Female,2006,1044
30-44,ASSAM,Female,2007,993
30-44,ASSAM,Female,2008,1080
30-44,ASSAM,Female,2009,1020
30-44,ASSAM,Female,2010,906
30-44,ASSAM,Female,2011,1023
30-44,ASSAM,Female,2012,966
30-44,ASSAM,Male,2001,2106
30-44,ASSAM,Male,2002,2040
30-44,ASSAM,Male,2003,1671
30-44,ASSAM,Male,2004,2292
30-44,ASSAM,Male,2005,2373
30-44,ASSAM,Male,2006,2559
30-44,ASSAM,Male,2007,2397
30-44,ASSAM,Male,2008,2316
30-44,ASSAM,Male,2009,2136
30-44,ASSAM,Male,2010,2205
30-44,ASSAM,Male,2011,2058
30-44,ASSAM,Male,2012,2949
30-44,BIHAR,Female,2001,282
30-44,BIHAR,Female,2002,288
30-44,BIHAR,Female,2003,263
30-44,BIHAR,Female,2004,153
30-44,BIHAR,Female,2005,231
30-44,BIHAR,Female,2006,387
30-44,BIHAR,Female,2007,351
30-44,BIHAR,Female,2008,435
30-44,BIHAR,Female,2009,696
30-44,BIHAR,Female,2010,477
30-44,BIHAR,Female,2011,378
30-44,BIHAR,Female,2012,369
30-44,BIHAR,Male,2001,363
30-44,BIHAR,Male,2002,486
30-44,BIHAR,Male,2003,312
30-44,BIHAR,Male,2004,228
30-44,BIHAR,Male,2005,318
30-44,BIHAR,Male,2006,306
30-44,BIHAR,Male,2007,438
30-44,BIHAR,Male,2008,606
30-44,BIHAR,Male,2009,579
30-44,BIHAR,Male,2010,816
30-44,BIHAR,Male,2011,489
30-44,BIHAR,Male,2012,636
30-44,CHANDIGARH,Female,2001,33
30-44,CHANDIGARH,Female,2002,21
30-44,CHANDIGARH,Female,2003,24
30-44,CHANDIGARH,Female,2004,6
30-44,CHANDIGARH,Female,2005,18
30-44,CHANDIGARH,Female,2006,18
30-44,CHANDIGARH,Female,2007,24
30-44,CHANDIGARH,Female,2008,21
30-44,CHANDIGARH,Female,2009,27
30-44,CHANDIGARH,Female,2010,30
30-44,CHANDIGARH,Female,2011,42
30-44,CHANDIGARH,Female,2012,24
30-44,CHANDIGARH,Male,2001,45
30-44,CHANDIGARH,Male,2002,78
30-44,CHANDIGARH,Male,2003,81
30-44,CHANDIGARH,Male,2004,63
30-44,CHANDIGARH,Male,2005,54
30-44,CHANDIGARH,Male,2006,78
30-44,CHANDIGARH,Male,2007,63
30-44,CHANDIGARH,Male,2008,57
30-44,CHANDIGARH,Male,2009,54
30-44,CHANDIGARH,Male,2010,36
30-44,CHANDIGARH,Male,2011,57
30-44,CHANDIGARH,Male,2012,93
30-44,CHHATTISGARH,Female,2001,1254
30-44,CHHATTISGARH,Female,2002,1230
30-44,CHHATTISGARH,Female,2003,1119
30-44,CHHATTISGARH,Female,2004,1380
30-44,CHHATTISGARH,Female,2005,1395
30-44,CHHATTISGARH,Female,2006,1284
30-44,CHHATTISGARH,Female,2007,1428
30-44,CHHATTISGARH,Female,2008,1434
30-44,CHHATTISGARH,Female,2009,1761
30-44,CHHATTISGARH,Female,2010,1941
30-44,CHHATTISGARH,Female,2011,1914
30-44,CHHATTISGARH,Female,2012,1329
30-44,CHHATTISGARH,Male,2001,2865
30-44,CHHATTISGARH,Male,2002,2784
30-44,CHHATTISGARH,Male,2003,2634
30-44,CHHATTISGARH,Male,2004,3171
30-44,CHHATTISGARH,Male,2005,3522
30-44,CHHATTISGARH,Male,2006,3255
30-44,CHHATTISGARH,Male,2007,3369
30-44,CHHATTISGARH,Male,2008,3468
30-44,CHHATTISGARH,Male,2009,4026
30-44,CHHATTISGARH,Male,2010,4614
